product_id,name,regular_price,promo_price,brand,city_id
1000314294,Творог детский Мама Лама с клубникой и бананом 3.8% 100г,,35.99,Мама Лама,1141
1000244735,Молоко сгущенное Алексеевское вареное 8.5% 360г,209.99,149.0,Алексеевское,1141
1000556520,РЯБА Провансаль сметанный 50.5% 330г,144.99,89.99,Ряба,1141
1000472413,Напиток овсяный Nemoloko Шоколадный 3.2% 200мл,,29.99,Nemoloko,1141
1000047332,Десерт творожный Чудо Клубника земляника 4% 100г,74.99,52.99,Чудо,1141
1000519715,Молочный крем-десерт с молоком сгущенным с сахаром в вафельной трубочке Snapico 65г,,46.99,Snapico,1141
1000422623,Майонез Я люблю готовить Классический провансаль 67% 700мл,249.99,169.0,Я Люблю Готовить,1141
3073080015,Йогурт Campina Нежный с соком персика 1.2% 100г,,23.99,Нежный,1141
1000237066,Кисломолочный напиток Имунеле детский Клубничное мороженое 1.5% 100г,,34.99,Имунеле,1141
1000461609,Йогурт Агуша Клубника земляника 2.7% 180г,,45.99,Агуша,1141
1000251920,Детский творог с лесными ягодами с 6 месяцев Фрутоняня 4.2% 100г,,59.99,Фрутоняня,1141
1000131435,Желе Lucky Days аромат микс 170г,,53.99,Lucky Days,1141
1000560446,Сыр протеиновый Oldenburger ломтики с томатом и базиликом 30% 125г,259.99,159.99,Oldenburger,1141
1000581120,Сырок глазированный А.Ростагрокомплекс Солёная карамель мдж 26% 50г,,96.99,А.Ростагрокомплекс,1141
1000389522,Кокосовое молоко Thai Coco 5-7% 400мл,189.99,129.99,Thai Coco,1141
1000222650,Каша Агуша Засыпай-ка молочно-злаковая с грушей и бананом 2.7% 200мл,79.98,46.99,Агуша,1141
1891200088,Сыр плавленый President Сливочный 40% 150г,169.99,119.99,President,1141
1000247234,Яйцо куриное Окское С0 столовое 10шт,,129.99,Окское,1141
1000526829,Сырок Сыркофф творожный малина с печеньем 23% 40г,,29.99,Сыркофф,1141
1000501598,Майонез Провансаль Mr. Ricco 67% 340г,134.99,94.99,Mr. Ricco,1141
1000452079,Напиток Green Milk соевый банан 1% 1л,,124.99,Green Milk,1141
1000572440,Напиток Фругурт кисломолочный со вкусом персика 1% 930г,,119.0,Фругурт,1141
1000402146,Сырок творожный Сыркофф Кокос 23% 40г,,27.99,Сыркофф,1141
1000564007,Творог Клубника Агуша 3.9% 100г,,44.99,Агуша,1141
1000277219,Майонез Скит Провансаль 67% 400мл,,139.99,Скит,1141
1000401679,Творог 101 Зерно + Сливки зернистый манго-маракуйя 5% 130г,,67.99,Савушкин,1141
1829990270,Масса творожная Брянский МК с курагой 20% 500г,179.99,159.99,Брянский МК,1141
1000334603,Питьевой йогурт со вкусом Клубничный пломбир Растишка 2.8% 190г в ассортименте,,79.99,Растишка,1141
1000330511,Молоко Село Зеленое козье ультрапастеризованное 2.8-5.6% 200г,,69.99,Село Зеленое,1141
1000524636,Кисломолочный продукт Актимуно киви клубника и цинк 1.5% 95г,,39.99,Actimuno,1141
1000201629,Йогурт питьевой Чудо Клубника земляника 1.9% 260г,84.99,62.99,Чудо,1141
1000354755,Десерт Завод им.В.П.Пастухова Зефир молочный в бельгийском шоколаде 60г,,134.99,ЗГДиОП им. В.П. Пастухова,1141
1000380544,Йогурт питьевой Epica Клубника маракуйя 2.5% 260мл,,69.99,Epica,1141
1000472412,Напиток овсяный Nemoloko классический 1.5% 200мл,,29.99,Nemoloko,1141
1000233192,Напиток овсяный Nemoloko Классический 3.2% 1л,159.99,99.0,Nemoloko,1141
1000452314,Сыр Село Зеленое Гауда Премиум нарезка 40% 130г,199.99,176.99,Село Зеленое,1141
1000093974,Сырок творожный Ростагроэкспорт с ванилином 16.5% 90г,,54.99,А.Ростагрокомплекс,1141
1000047329,Десерт творожный Чудо Персик груша 4.2% 100г,74.99,52.99,Чудо,1141
1000517535,Балык Станицыно копчёный 40% весовой,449.97,359.97,Станицыно,1141
1000047322,Десерт творожный Чудо Вишня черешня 4% 100г,74.99,52.99,Чудо,1141
8000022363,Йогурт Растишка питьевой пломбир голубика 1.6% 90г,,29.99,Растишка,1141
1000508320,Биойогурт питьевой Актибио Злаки 1.6% 260г,,64.99,Актибио,1141
1000461714,Десерт фруктовый Яблоко клубника 2шт 200г,,79.99,Сила Традиции,1141
1000581983,Плавленый продукт Рязанский колбасный копченый 25% 300г,,86.99,Рязанский ЗПС,1141
1000395106,Пирожное бисквитное с кремом в глазури Скрепыши 30г,,55.99,Скрепыши,1141
1829990038,Продукт творожный Даниссимо с сочным киви 5.5% 130г,,59.99,Даниссимо,1141
1000323264,Творожный десерт Даниссимо со вкусом клубники 5.6% 130г,,59.99,Даниссимо,1141
1000122024,Творог Савушкин Традиционный 9% 300г,,139.99,Савушкин Хуторок,1141
1000186649,Сырок глазированный Советские традиции с вареной сгущенкой 26% 45г,,52.99,Советские Традиции,1141
1000508295,Биойогурт питьевой Актибио чернослив 1.5% 870г,,146.99,Актибио,1141
8000033680,Биойогурт Актибио манго-папайя без сахара 1.5% 260г,,69.99,Актибио,1141
1000380541,Йогурт питьевой Epica Манго 2.5% 260мл,,69.99,Epica,1141
1000571427,Молочный коктейль со вкусом Клубнично-манговый сорбет Angelato 2% 950г,,119.99,Angelato,1141
3392940005,Сыр плавленый Hochland сливочный 55% 400г,399.99,289.99,Hochland,1141
1000233190,Напиток овсяный Nemoloko Шоколадный 3.2% 1л,169.99,104.99,Nemoloko,1141
8000038108,Плавленый сыр Классический 35% Viola 380г,319.99,239.99,Viola,1141
1000318957,Сыр Сваля Тильзитер нарезка 45% 125г,219.99,159.99,Сваля,1141
1000106287,Каша Увелка Овсяная Ассорти 5пак*40г,139.99,119.99,Увелка,1141
1000222957,Йогурт питьевой Чудо ягодное мороженое 1.9% 260г,84.99,62.99,Чудо,1141
1000181497,Йогурт Lactica Греческий 4% 120г,,74.99,Lactica,1141
1000508300,Биойогурт питьевой Актибио Злаки 1.6% 870г,,146.0,Актибио,1141
1000093975,Сырок творожный Ростагроэкспорт с изюмом 16.5% 90г,,54.99,А.Ростагрокомплекс,1141
8000034109,Молоко Волоконовское сгущенное с сахаром вареное 8.5% 315г,,164.99,Волоконовское,1141
1000500094,Сыр плавленый Hochland Гриль Чиз ломтики 40% 150г,159.99,129.99,Hochland,1141
1000535923,Творог Parmalat безлактозный 5% 260г,,199.99,Parmalat,1141
8000036544,Сыр Unagrande Моцарелла палочки протеиновый 35% 120г,279.99,169.99,Unagrande,1141
1000524626,Кисломолочный продукт Актимуно Черника ежевика и цинк 1.5% 95г,,39.99,Actimuno,1141
1000517493,Сыр плавленый Viola Классический с салями 35% 190г,199.99,139.99,Viola,1141
3201860038,Молочный коктейль Чудо Клубника 2% 200мл,67.49,47.99,Чудо,1141
1000026174,Овсяная каша Черника/Вишня Магнит 41г в ассортименте,,14.99,Магнит,1141
1000222955,Десерт творожный Чудо Малина ежевика 4.2% 100г,74.99,52.99,Чудо,1141
1000060573,Продукт плавленый Моя цена Дружба с сыром 50% 70г,,20.99,Моя цена,1141
1000286638,Десерт творожный глазированный Ростагроэкспорт ванильный с варёной сгущенкой 15% 60г,,49.99,Ростагроэкспорт,1141
1051242645,Молоко Агуша детское стерилизованное 3.2% 500мл,,89.99,Агуша,1141
1000112595,Кисломолочный напиток Имунеле For Kids Малиновый пломбир 1.5% 95мл,,34.99,Имунеле,1141
2400019154,Продукт творожный Даниссимо с изысканным шоколадом 6.7% 130г,,64.99,Даниссимо,1141
1000518913,Сырок глазированный А.Ростагрокомплекс кокос 26% 50г,,72.99,А.Ростагрокомплекс,1141
1000151122,Масло сливочное Асеньевская Ферма 82.5% 180г,269.99,179.99,Асеньевская Ферма,1141
1000008104,Молочный коктейль Чудо Шоколад 2% 950г,,169.99,Чудо,1141
1000070834,Майонезный соус Слобода Постный 56% 200мл,79.99,59.99,Слобода,1141
1000172948,Сырок глазированный Ростагроэкспорт с ванилином 5% 45г,,39.99,А.Ростагрокомплекс,1141
1000170158,Напиток сывороточный J7 Мажитэль Арбуз и дыня 950мл,159.99,104.99,Мажитэль,1141
1000578839,Плавленый сыр Сливочный 50% Landkaas 350г,249.99,199.99,Landkaas,1141
1000201448,Йогурт питьевой Чудо черника малина 1.9% 260г,79.99,62.99,Чудо,1141
9409610181,Сыр творожный Almette Сливочный 60% 150г,,129.99,Almette,1141
1000207987,Молочный коктейль малиновый Фрутоняня 2.1% 200мл,,57.32,Фрутоняня,1141
1000572260,Десерт творожный Чудо вишня-шоколад 4.4% 100г,74.99,52.99,Чудо,1141
1000201630,Йогурт питьевой Чудо Дыня манго персик 1.9% 260г,84.99,62.99,Чудо,1141
1000260878,Продукт молочный Моя цена Сгущенка с сахаром 270г,,45.99,Моя цена,1141
1000048677,Молочный коктейль Чудо Клубника 2% 950мл,,139.99,Чудо,1141
1000153883,Сыр Ла Паулина Аргентина Гойя 40% весовой,,399.97,La Paulina,1141
1899800045,Продукт творожный Даниссимо с хрустящими шариками 7.2% 130г,,64.99,Даниссимо,1141
1000077734,Майонез Махеевъ Провансаль с лимонным соком 67% 380г,149.99,109.99,Махеевъ,1141
1799700138,Майонез Московский Провансаль классический 67% 96г,46.99,34.99,Московский Провансаль,1141
1000505365,Сыр Sveza творожный с авокадо 60% 150г,149.99,114.99,Sveza,1141
1000569494,Творог детский со вкусом Ягодный пломбир 4.2% с 6 месяцев Фруто Kids 90г,,59.99,Фрутоkids,1141
1000350169,Сливки Parmalat ультрапастеризованные 11% 500г,,169.99,Parmalat,1141
1000472409,Напиток овсяный Nemoloko Ваниль 200мл,,29.99,Nemoloko,1141
1899800825,Молоко детское Тема ультрапастеризованное 3.2% 200мл,,42.99,Тема,1141
1862400011,Сыр плавленый Hochland с ветчиной 55% 400г,399.99,289.99,Hochland,1141
8000018944,Молоко Алексеевское сгущенное вкус печенье 8.5% 270г,179.99,149.99,Алексеевское,1141
1000206973,Молочный коктейль банановый Фрутоняня 2.1% 200мл,,57.32,Фрутоняня,1141
1000230403,Молочная каша 5 злаков с персиком с 6 месяцев Фрутоняня 200мл,,79.98,Фрутоняня,1141
