product_id,name,regular_price,promo_price,brand,city
1000443932,Молочный коктейль Северная Долина Карамель 2.5% 200мл,,34.99,Северная Долина,moscow
1000429960,Продукт творожный Простоквашино Груша банан 3.6% 130г,,44.99,Простоквашино,moscow
1000570520,Продукт кисломолочный Exponenta High-Pro Вишня-пломбир обезжиренный 160г,,129.99,Exponenta,moscow
1000109125,Творог детский Агуша Злаки 3.9% 100г,,44.99,Агуша,moscow
1000100776,Творожок Савушкин Чизкейк 3.5% 120г,,53.99,Савушкин,moscow
2123200142,Каша Быстров Овсяная без варки Ассорти 6пак*40г,209.99,169.99,Быстров,moscow
1000524625,Кисломолочный продукт Актимуно Гранат и цинк 1.5% 95г,,39.99,Actimuno,moscow
1000447904,Йогурт Danissimo с хрустящими рисовыми шариками со вкусом клубника и шоколад 6.9% 105г,,59.99,Даниссимо,moscow
1000372786,Творог Простоквашино 5% 200г,119.99,99.0,Простоквашино,moscow
1000314294,Творог детский Мама Лама с клубникой и бананом 3.8% 100г,,35.99,Мама Лама,moscow
1000244735,Молоко сгущенное Алексеевское вареное 8.5% 360г,209.99,149.0,Алексеевское,moscow
1000556520,РЯБА Провансаль сметанный 50.5% 330г,144.99,89.99,Ряба,moscow
1000472413,Напиток овсяный Nemoloko Шоколадный 3.2% 200мл,,29.99,Nemoloko,moscow
1000047332,Десерт творожный Чудо Клубника земляника 4% 100г,74.99,52.99,Чудо,moscow
1000519715,Молочный крем-десерт с молоком сгущенным с сахаром в вафельной трубочке Snapico 65г,,46.99,Snapico,moscow
1000422623,Майонез Я люблю готовить Классический провансаль 67% 700мл,249.99,169.0,Я Люблю Готовить,moscow
3073080015,Йогурт Campina Нежный с соком персика 1.2% 100г,,23.99,Нежный,moscow
1000237066,Кисломолочный напиток Имунеле детский Клубничное мороженое 1.5% 100г,,34.99,Имунеле,moscow
1000461609,Йогурт Агуша Клубника земляника 2.7% 180г,,45.99,Агуша,moscow
1000251920,Детский творог с лесными ягодами с 6 месяцев Фрутоняня 4.2% 100г,,59.99,Фрутоняня,moscow
1000131435,Желе Lucky Days аромат микс 170г,,53.99,Lucky Days,moscow
1000560446,Сыр протеиновый Oldenburger ломтики с томатом и базиликом 30% 125г,259.99,159.99,Oldenburger,moscow
1000581120,Сырок глазированный А.Ростагрокомплекс Солёная карамель мдж 26% 50г,,96.99,А.Ростагрокомплекс,moscow
